Zutat (Gemüse);Jan;Feb;Mär;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
Aubergine;nein;nein;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein
Blumenkohl;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein
Bohnen, grüne;nein;nein;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein
Bohnen, dicke;nein;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;nein
Brokkoli;nein;nein;nein;nein;nein;ja;ja;ja;ja;ja;nein;nein
Butterrueben;(ja);(ja);(ja);(ja);nein;nein;nein;ja;ja;ja;ja;ja
Champignons;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja
Erbsen;nein;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;nein
Fenchel;nein;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;nein
Gruenkohl;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;ja;ja
Gurke;nein;nein;nein;nein;nein;ja;ja;ja;ja;ja;nein;nein
Kartoffeln;(ja);(ja);(ja);(ja);(ja);ja;ja;ja;ja;ja;(ja);(ja)
Kohlrabi;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein
Kuerbis;(ja);(ja);nein;nein;nein;nein;nein;ja;ja;ja;ja;(ja)
Lauch;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja
Fruehlingszwiebeln;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein
Mais;nein;nein;nein;nein;nein;nein;nein;ja;ja;ja;nein;nein
Mangold;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein
Moehren;(ja);(ja);(ja);(ja);(ja);ja;ja;ja;ja;ja;(ja);(ja)
Paprika;nein;nein;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein
Pastinaken;ja;ja;ja;(ja);nein;nein;nein;nein;ja;ja;ja;ja
Radieschen;nein;nein;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein
Rosenkohl;ja;ja;ja;nein;nein;nein;nein;nein;nein;ja;ja;ja
Rote Bete;(ja);(ja);(ja);(ja);nein;nein;ja;ja;ja;ja;ja;(ja)
Rotkohl;(ja);(ja);(ja);(ja);(ja);ja;ja;ja;ja;ja;ja;(ja)
Schwarzwurzeln;ja;ja;nein;nein;nein;nein;nein;nein;nein;ja;ja;ja
Spargel;nein;nein;nein;ja;ja;ja;nein;nein;nein;nein;nein;nein
Spinat;nein;nein;ja;ja;ja;nein;nein;nein;ja;ja;ja;nein
Spitzkohl;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein
Staudensellerie;nein;nein;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein
Steckrueben;(ja);(ja);(ja);nein;nein;nein;nein;nein;ja;ja;ja;ja
Tomaten;nein;nein;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein
Topinambur;ja;ja;ja;nein;nein;nein;nein;nein;nein;ja;ja;ja
Weisskohl;(ja);(ja);(ja);(ja);nein;ja;ja;ja;ja;ja;ja;(ja)
Wirsingkohl;ja;ja;(ja);nein;ja;ja;ja;ja;ja;ja;ja;ja
Zucchini;nein;nein;nein;nein;nein;ja;ja;ja;ja;ja;nein;nein
Zuckerschoten;nein;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;nein
Zwiebeln;(ja);(ja);(ja);(ja);(ja);(ja);ja;ja;ja;ja;(ja);(ja)
